,Narrative,document number
1203,50.0,98-0696
1204,6.0,98-0697
1205,50.0,98-0698
1206,-1.0,98-0699
1207,-1.0,98-0701
1208,22.0,98-0702
1209,8.0,98-0703
1210,-1.0,98-0704
1211,-1.0,98-0705
1212,17.0,98-0706
1213,14.0,98-0707
1214,-1.0,98-0708
1215,74.0,98-0709
1216,0.0,98-0711
1217,5.0,98-0712
1218,-1.0,98-0713
1219,13.0,98-0714
1220,27.0,98-0715
1221,1.0,98-0716
1222,0.0,98-0717
1223,-1.0,98-0718
1224,-1.0,98-0719
1225,-1.0,98-0721
1226,17.0,98-0722
1227,-1.0,98-0723
1228,38.0,98-0724
1229,-1.0,98-0725
1230,-1.0,98-0726
1231,-1.0,98-0727
1232,24.0,98-0728
1233,24.0,98-0729
1234,-1.0,98-0731
1235,-1.0,98-0732
1236,3.0,98-0733
1237,17.0,98-0734
1238,-1.0,98-0735
1239,84.0,98-0736
1240,-1.0,98-0737
1241,-1.0,98-0738
1242,-1.0,98-0739
1243,-1.0,98-0741
1244,71.0,98-0742
1245,-1.0,98-0743
1246,-1.0,98-0744
1247,-1.0,98-0745
1248,2.0,98-0746
1249,8.0,98-0747
1250,4.0,98-0748
1251,-1.0,98-0749
1252,-1.0,98-0751
1253,2.0,98-0752
1254,4.0,98-0753
1255,-1.0,98-0754
1256,17.0,98-0755
1257,6.0,98-0756
1258,0.0,98-0757
1259,66.0,98-0758
1260,68.0,98-0759
1261,87.0,98-0761
1262,14.0,98-0762
1263,-1.0,98-0763
1264,-1.0,98-0764
1265,41.0,98-0765
1266,-1.0,98-0766
1267,-1.0,98-0767
1268,-1.0,98-0768
1269,-1.0,98-0769
1270,16.0,98-0771
1271,25.0,98-0772
1272,-1.0,98-0773
1273,-1.0,98-0774
1274,22.0,98-0775
1275,65.0,98-0776
1276,50.0,98-0777
1277,-1.0,98-0778
1278,-1.0,98-0779
1279,10.0,98-0781
1280,-1.0,98-0782
1281,-1.0,98-0783
1282,3.0,98-0784
1283,-1.0,98-0785
1284,0.0,98-0786
1285,-1.0,98-0787
1286,0.0,98-0788
1287,-1.0,98-0789
1288,-1.0,98-0791
1289,16.0,98-0792
1290,15.0,98-0793
1291,6.0,98-0794
1292,5.0,98-0795
1293,3.0,98-0796
1294,12.0,98-0797
1295,-1.0,98-0798
1296,-1.0,98-0799
1297,-1.0,98-0801
1298,4.0,98-0802
1299,-1.0,98-0803
1300,6.0,98-0804
1301,17.0,98-0805
1302,34.0,98-0806
1303,-1.0,98-0807
1304,-1.0,98-0808
1305,-1.0,98-0809
1306,-1.0,98-0811
1307,-1.0,98-0812
1308,-1.0,98-0813
1309,73.0,98-0814
1310,-1.0,98-0815
1311,10.0,98-0816
1312,-1.0,98-0817
1313,2.0,98-0818
1314,26.0,98-0819
1315,36.0,98-0821
1316,-1.0,98-0822
1317,36.0,98-0823
1318,6.0,98-0824
1319,36.0,98-0825
1320,37.0,98-0826
1321,-1.0,98-0827
1322,-1.0,98-0828
1323,8.0,98-0829
1324,1.0,98-0831
1325,6.0,98-0832
1326,1.0,98-0833
1327,3.0,98-0834
1328,0.0,98-0835
1329,8.0,98-0836
1330,-1.0,98-0837
1331,9.0,98-0838
1332,-1.0,98-0839
1333,26.0,98-0841
1334,-1.0,98-0842
1335,-1.0,98-0843
1336,-1.0,98-0844
1337,3.0,98-0845
1338,1.0,98-0846
1339,-1.0,98-0847
1340,-1.0,99-0001
1341,-1.0,99-0002
1342,27.0,99-0003
1343,34.0,99-0004
1344,-1.0,99-0005
1345,81.0,99-0006
1346,-1.0,99-0007
1347,-1.0,99-0008
1348,-1.0,99-0009
1349,60.0,99-0011
1350,73.0,99-0012
1351,-1.0,99-0013
1352,-1.0,99-0014
1353,9.0,99-0015
1354,-1.0,99-0016
1355,-1.0,99-0017
1356,3.0,99-0018
1357,38.0,99-0019
1358,2.0,99-0021
1359,-1.0,99-0022
1360,11.0,99-0023
1361,34.0,99-0024
1362,0.0,99-0025
1363,1.0,99-0026
1364,0.0,99-0027
1365,5.0,99-0028
1366,1.0,99-0029
1367,25.0,99-0031
1368,1.0,99-0032
1369,0.0,99-0033
1370,2.0,99-0034
1371,3.0,99-0035
1372,2.0,99-0036
1373,9.0,99-0037
1374,11.0,99-0039
1375,11.0,99-0041
1376,-1.0,99-0042
1377,12.0,99-0043
1378,22.0,99-0044
1379,48.0,99-0045
1380,10.0,99-0046
1381,-1.0,99-0047
1382,-1.0,99-0048
1383,4.0,99-0049
1384,-1.0,99-0051
1385,-1.0,99-0052
1386,-1.0,99-0053
1387,48.0,99-0054
1388,10.0,99-0055
1389,-1.0,99-0056
1390,-1.0,99-0057
1391,10.0,99-0058
1392,-1.0,99-0059
1393,27.0,99-0061
1394,10.0,99-0062
1395,-1.0,99-0063
1396,-1.0,99-0064
1397,-1.0,99-0065
1398,-1.0,99-0066
1399,34.0,99-0067
1400,87.0,99-0068
1401,-1.0,99-0069
1402,37.0,99-0071
1403,59.0,99-0072
1404,-1.0,99-0073
1405,8.0,99-0074
1406,-1.0,99-0075
1407,-1.0,99-0076
1408,22.0,99-0077
1409,22.0,99-0078
1410,-1.0,99-0079
1411,-1.0,99-0081
1412,1.0,99-0082
1413,-1.0,99-0083
1414,58.0,99-0084
1415,-1.0,99-0085
1416,-1.0,99-0086
1417,11.0,99-0087
1418,8.0,99-0088
1419,-1.0,99-0089
1420,34.0,99-0091
1421,23.0,99-0092
1422,52.0,99-0093
1423,60.0,99-0094
1424,10.0,99-0095
1425,17.0,99-0096
1426,98.0,99-0097
1427,-1.0,99-0098
1428,0.0,99-0099
1429,-1.0,99-0101
1430,-1.0,99-0102
1431,-1.0,99-0103
1432,1.0,99-0104
1433,19.0,99-0105
1434,-1.0,99-0106
1435,-1.0,99-0107
1436,61.0,99-0108
1437,-1.0,99-0109
1438,-1.0,99-0111
1439,-1.0,99-0112
1440,10.0,99-0113
1441,-1.0,99-0114
1442,-1.0,99-0115
1443,-1.0,99-0116
1444,62.0,99-0117
1445,-1.0,99-0118
1446,66.0,99-0119
1447,1.0,99-0121
1448,95.0,99-0122
1449,8.0,99-0123
1450,-1.0,99-0124
1451,2.0,99-0125
1452,-1.0,99-0126
1453,20.0,99-0127
1454,-1.0,99-0128
1455,-1.0,99-0129
1456,8.0,99-0131
1457,19.0,99-0132
1458,-1.0,99-0133
1459,10.0,99-0134
1460,-1.0,99-0135
1461,-1.0,99-0136
1462,-1.0,99-0137
1463,1.0,99-0138
1464,6.0,99-0139
1465,4.0,99-0141
1466,-1.0,99-0142
1467,14.0,99-0143
1468,9.0,99-0144
1469,9.0,99-0145
1470,8.0,99-0146
1471,38.0,99-0147
1472,0.0,99-0148
1473,-1.0,99-0149
1474,39.0,99-0151
1475,-1.0,99-0152
1476,0.0,99-0153
1477,0.0,99-0154
1478,-1.0,99-0155
1479,38.0,99-0156
1480,3.0,99-0157
1481,2.0,99-0158
1482,10.0,99-0159
1483,-1.0,99-0161
1484,-1.0,99-0162
1485,24.0,99-0163
1486,0.0,99-0164
1487,40.0,99-0165
1488,-1.0,99-0166
1489,60.0,99-0167
1490,-1.0,99-0168
1491,5.0,99-0169
1492,-1.0,99-0171
1493,14.0,99-0172
1494,3.0,99-0173
1495,7.0,99-0174
1496,10.0,99-0175
1497,38.0,99-0176
1498,10.0,99-0177
1499,56.0,99-0178
1500,4.0,99-0179
1501,20.0,99-0181
1502,33.0,99-0182
1503,1.0,99-0183
1504,-1.0,99-0184
1505,0.0,99-0185
1506,62.0,99-0186
1507,20.0,99-0187
1508,20.0,99-0188
1509,-1.0,99-0189
1510,7.0,99-0191
1511,-1.0,99-0192
1512,-1.0,99-0193
1513,55.0,99-0194
1514,-1.0,99-0195
1515,-1.0,99-0196
1516,-1.0,99-0197
1517,-1.0,99-0198
1518,1.0,99-0199
1519,6.0,99-0201
1520,6.0,99-0202
1521,-1.0,99-0203
1522,60.0,99-0204
1523,-1.0,99-0205
1524,-1.0,99-0206
1525,14.0,99-0207
1526,-1.0,99-0208
1527,-1.0,99-0209
1528,0.0,99-0211
1529,3.0,99-0212
1530,-1.0,99-0213
1531,40.0,99-0214
1532,0.0,99-0215
1533,10.0,99-0216
1534,-1.0,99-0217
1535,-1.0,99-0218
1536,-1.0,99-0219
1537,26.0,99-0221
1538,-1.0,99-0222
1539,-1.0,99-0223
1540,-1.0,99-0224
1541,-1.0,99-0225
1542,-1.0,99-0226
1543,13.0,99-0227
1544,-1.0,99-0228
1545,-1.0,99-0229
1546,20.0,99-0231
1547,24.0,99-0232
1548,0.0,99-0233
1549,61.0,99-0234
1550,-1.0,99-0235
1551,-1.0,99-0236
1552,0.0,99-0237
1553,34.0,99-0238
1554,4.0,99-0239
1555,5.0,99-0241
1556,34.0,99-0242
1557,34.0,99-0243
1558,13.0,99-0244
1559,4.0,99-0245
1560,-1.0,99-0246
1561,-1.0,99-0247
1562,37.0,99-0248
1563,19.0,99-0249
1564,-1.0,99-0251
1565,-1.0,99-0252
1566,10.0,99-0253
1567,-1.0,99-0254
1568,-1.0,99-0255
1569,-1.0,99-0256
1570,-1.0,99-0257
1571,3.0,99-0258
1572,-1.0,99-0259
1573,18.0,99-0261
1574,-1.0,99-0262
1575,-1.0,99-0263
1576,48.0,99-0264
1577,-1.0,99-0265
1578,32.0,99-0266
1579,0.0,99-0267
1580,86.0,99-0268
1581,41.0,99-0269
1582,66.0,99-0271
1583,-1.0,99-0272
1584,-1.0,99-0273
1585,88.0,99-0274
1586,0.0,99-0275
1587,34.0,99-0276
1588,71.0,99-0277
1589,-1.0,99-0278
1590,-1.0,99-0279
1591,-1.0,99-0281
1592,-1.0,99-0282
1593,-1.0,99-0283
1594,23.0,99-0284
1595,-1.0,99-0285
1596,-1.0,99-0286
1597,13.0,99-0287
1598,79.0,99-0288
1599,8.0,99-0289
1600,30.0,99-0291
1601,11.0,99-0292
1602,-1.0,99-0293
1603,-1.0,99-0294
1604,7.0,99-0295
1605,68.0,99-0296
1606,-1.0,99-0297
1607,-1.0,99-0298
1608,3.0,99-0299
1609,-1.0,99-0301
1610,-1.0,99-0302
1611,-1.0,99-0303
1612,5.0,99-0304
1613,-1.0,99-0305
1614,22.0,99-0306
1615,2.0,99-0307
1616,0.0,99-0308
1617,30.0,99-0309
1618,-1.0,99-0311
1619,-1.0,99-0312
1620,82.0,99-0313
1621,33.0,99-0314
1622,8.0,99-0315
1623,8.0,99-0316
1624,8.0,99-0317
1625,8.0,99-0318
1626,32.0,99-0319
1627,-1.0,99-0321
1628,67.0,99-0322
1629,2.0,99-0324
1630,-1.0,99-0325
1631,8.0,99-0326
1632,-1.0,99-0327
1633,16.0,99-0328
1634,9.0,99-0329
1635,-1.0,99-0331
1636,-1.0,99-0332
1637,-1.0,99-0333
1638,-1.0,99-0334
1639,17.0,99-0335
1640,-1.0,99-0336
1641,66.0,99-0337
1642,-1.0,99-0338
1643,0.0,99-0339
1644,13.0,99-0341
1645,6.0,99-0342
1646,-1.0,99-0344
1647,75.0,99-0345
1648,13.0,99-0346
1649,6.0,99-0347
1650,42.0,99-0348
1651,-1.0,99-0349
1652,-1.0,99-0352
1653,42.0,99-0353
1654,2.0,99-0354
1655,-1.0,99-0355
1656,-1.0,99-0356
1657,-1.0,99-0357
1658,-1.0,99-0358
1659,6.0,99-0359
1660,20.0,99-0361
1661,-1.0,99-0362
1662,60.0,99-0363
1663,-1.0,99-0364
1664,10.0,99-0365
1665,7.0,99-0366
1666,25.0,99-0367
1667,-1.0,99-0368
1668,41.0,99-0369
1669,-1.0,99-0371
1670,8.0,99-0372
1671,-1.0,99-0373
1672,-1.0,99-0374
1673,58.0,99-0375
1674,6.0,99-0376
1675,-1.0,99-0377
1676,-1.0,99-0378
1677,5.0,99-0379
1678,0.0,99-0381
1679,5.0,99-0382
1680,5.0,99-0383
1681,3.0,99-0384
1682,8.0,99-0385
1683,5.0,99-0386
1684,-1.0,99-0387
1685,-1.0,99-0388
1686,-1.0,99-0389
1687,-1.0,99-0391
1688,49.0,99-0392
1689,26.0,99-0393
1690,-1.0,99-0394
1691,-1.0,99-0395
1692,-1.0,99-0398
1693,5.0,99-0399
1694,12.0,99-0401
1695,4.0,99-0402
1696,13.0,99-0403
1697,8.0,99-0404
1698,8.0,99-0405
1699,-1.0,99-0406
1700,-1.0,99-0407
1701,-1.0,99-0408
1702,-1.0,99-0409
1703,-1.0,99-0411
1704,-1.0,99-0412
1705,-1.0,99-0413
1706,-1.0,99-0414
1707,0.0,99-0415
1708,40.0,99-0416
1709,0.0,99-0417
1710,-1.0,99-0418
1711,5.0,99-0419
1712,-1.0,99-0421
1713,14.0,99-0422
1714,66.0,99-0423
1715,19.0,99-0424
1716,50.0,99-0425
1717,11.0,99-0426
1718,-1.0,99-0427
1719,17.0,99-0428
1720,23.0,99-0429
1721,50.0,99-0431
1722,-1.0,99-0432
1723,-1.0,99-0433
1724,0.0,99-0434
1725,0.0,99-0435
1726,-1.0,99-0436
1727,2.0,99-0437
1728,62.0,99-0438
1729,16.0,99-0439
1730,4.0,99-0441
1731,-1.0,99-0442
1732,35.0,99-0443
1733,23.0,99-0444
1734,97.0,99-0445
1735,31.0,99-0446
1736,-1.0,99-0447
1737,-1.0,99-0448
1738,-1.0,99-0449
1739,22.0,99-0451
1740,6.0,99-0452
1741,-1.0,99-0453
1742,7.0,99-0454
1743,33.0,99-0455
1744,30.0,99-0456
1745,-1.0,99-0457
1746,5.0,99-0458
1747,-1.0,99-0459
1748,-1.0,99-0461
1749,1.0,99-0462
1750,-1.0,99-0463
1751,36.0,99-0464
1752,9.0,99-0465
1753,36.0,99-0466
1754,-1.0,99-0467
1755,1.0,99-0468
1756,2.0,99-0469
1757,-1.0,99-0471
1758,50.0,99-0472
1759,50.0,99-0473
1760,15.0,99-0474
1761,41.0,99-0475
1762,47.0,99-0476
1763,-1.0,99-0477
1764,0.0,99-0478
1765,-1.0,99-0479
1766,2.0,99-0481
1767,-1.0,99-0482
1768,29.0,99-0483
1769,-1.0,99-0484
1770,67.0,99-0485
1771,7.0,99-0486
1772,-1.0,99-0487
1773,12.0,99-0488
1774,-1.0,99-0489
1775,-1.0,99-0491
1776,0.0,99-0492
1777,9.0,99-0493
1778,-1.0,99-0494
1779,-1.0,99-0495
1780,-1.0,99-0496
1781,57.0,99-0497
1782,1.0,99-0498
1783,-1.0,99-0499
1784,-1.0,99-0501
1785,-1.0,99-0502
1786,1.0,99-0503
1787,10.0,99-0504
1788,1.0,99-0505
1789,44.0,99-0506
1790,44.0,99-0507
1791,4.0,99-0508
1792,10.0,99-0509
1793,-1.0,99-0511
1794,59.0,99-0512
1795,68.0,99-0513
1796,-1.0,99-0514
1797,-1.0,99-0515
1798,4.0,99-0516
1799,-1.0,99-0517
1800,14.0,99-0518
1801,-1.0,99-0519
1802,19.0,99-0521
1803,5.0,99-0522
1804,-1.0,99-0523
1805,-1.0,99-0524
1806,26.0,99-0525
1807,5.0,99-0526
1808,26.0,99-0527
1809,-1.0,99-0528
1810,33.0,99-0529
1811,-1.0,99-0531
1812,0.0,99-0532
1813,34.0,99-0533
1814,-1.0,99-0534
1815,0.0,99-0535
1816,0.0,99-0536
1817,0.0,99-0537
1818,-1.0,99-0538
1819,5.0,99-0539
1820,5.0,99-0541
1821,1.0,99-0542
1822,1.0,99-0543
1823,-1.0,99-0544
1824,16.0,99-0545
1825,9.0,99-0546
1826,0.0,99-0547
1827,-1.0,99-0548
1828,-1.0,99-0549
1829,-1.0,99-0551
1830,79.0,99-0552
1831,5.0,99-0553
1832,-1.0,99-0554
1833,3.0,99-0555
1834,58.0,99-0556
1835,11.0,99-0557
1836,6.0,99-0558
1837,3.0,99-0559
1838,-1.0,99-0561
1839,-1.0,99-0562
1840,4.0,99-0563
1841,32.0,99-0564
1842,-1.0,99-0565
1843,3.0,99-0566
1844,18.0,99-0567
1845,-1.0,99-0568
1846,43.0,99-0569
1847,2.0,99-0571
1848,-1.0,99-0572
1849,32.0,99-0573
1850,4.0,99-0574
1851,-1.0,99-0575
1852,41.0,99-0576
1853,-1.0,99-0577
1854,22.0,99-0578
1855,-1.0,99-0579
1856,11.0,99-0581
1857,-1.0,99-0582
1858,30.0,99-0583
1859,-1.0,99-0584
1860,-1.0,99-0585
1861,-1.0,99-0586
1862,-1.0,99-0587
1863,-1.0,99-0588
1864,-1.0,99-0589
1865,7.0,99-0591
1866,0.0,99-0592
1867,0.0,99-0593
1868,5.0,99-0594
1869,-1.0,99-0595
1870,16.0,99-0596
1871,-1.0,99-0597
1872,3.0,99-0598
1873,7.0,99-0599
1874,-1.0,99-0601
1875,-1.0,99-0602
1876,7.0,99-0603
1877,-1.0,99-0604
1878,63.0,99-0605
1879,-1.0,99-0606
1880,11.0,99-0607
1881,19.0,99-0608
1882,-1.0,99-0609
1883,-1.0,99-0611
1884,-1.0,99-0612
1885,-1.0,99-0613
1886,8.0,99-0614
1887,-1.0,99-0615
1888,23.0,99-0616
1889,0.0,99-0617
1890,-1.0,99-0618
1891,1.0,99-0619
1892,7.0,99-0621
1893,-1.0,99-0622
1894,22.0,99-0623
1895,-1.0,99-0624
1896,10.0,99-0625
1897,-1.0,99-0626
1898,2.0,99-0627
1899,-1.0,99-0628
1900,-1.0,99-0629
1901,32.0,99-0631
1902,5.0,99-0632
1903,5.0,99-0633
1904,41.0,99-0634
1905,75.0,99-0635
1906,6.0,99-0636
1907,-1.0,99-0637
1908,-1.0,99-0638
1909,8.0,99-0639
1910,-1.0,99-0641
1911,59.0,99-0642
1912,41.0,99-0643
1913,-1.0,99-0644
1914,60.0,99-0645
1915,-1.0,99-0646
1916,8.0,99-0647
1917,-1.0,99-0648
1918,3.0,99-0649
1919,12.0,99-0651
1920,35.0,99-0652
1921,1.0,99-0653
1922,-1.0,99-0654
1923,84.0,99-0655
1924,0.0,99-0656
1925,4.0,99-0657
1926,55.0,99-0658
1927,-1.0,99-0659
1928,0.0,99-0661
1929,23.0,99-0662
1930,75.0,99-0663
1931,7.0,99-0664
1932,10.0,99-0665
1933,89.0,99-0666
1934,4.0,99-0667
1935,-1.0,99-0668
1936,-1.0,99-0669
1937,1.0,99-0671
1938,4.0,99-0672
1939,13.0,99-0673
1940,20.0,99-0674
1941,-1.0,99-0675
1942,0.0,99-0676
1943,12.0,99-0677
1944,0.0,99-0678
1945,7.0,99-0679
1946,1.0,99-0681
1947,-1.0,99-0682
1948,0.0,99-0683
1949,1.0,99-0684
1950,-1.0,99-0685
1951,68.0,99-0686
1952,-1.0,99-0687
1953,-1.0,99-0688
1954,84.0,99-0689
1955,-1.0,99-0691
1956,77.0,99-0692
1957,-1.0,99-0693
1958,14.0,99-0694
1959,88.0,99-0695
1960,78.0,99-0696
1961,0.0,99-0697
1962,15.0,99-0698
1963,-1.0,99-0699
1964,-1.0,99-0701
1965,-1.0,99-0702
1966,10.0,99-0703
1967,29.0,99-0704
1968,60.0,99-0705
1969,5.0,99-0706
1970,-1.0,99-0707
1971,9.0,99-0708
1972,1.0,99-0709
1973,-1.0,99-0711
1974,-1.0,99-0712
1975,9.0,99-0713
1976,22.0,99-0714
1977,-1.0,99-0715
1978,1.0,99-0716
1979,6.0,99-0717
1980,0.0,99-0718
1981,59.0,99-0719
1982,87.0,99-0721
1983,-1.0,99-0722
1984,6.0,99-0723
1985,2.0,99-0724
1986,-1.0,99-0725
1987,-1.0,99-0726
1988,14.0,99-0727
1989,-1.0,99-0728
1990,1.0,99-0729
1991,-1.0,99-0731
1992,1.0,99-0732
1993,-1.0,99-0733
1994,1.0,99-0734
1995,7.0,99-0735
1996,-1.0,99-0736
1997,-1.0,99-0737
1998,33.0,99-0738
1999,-1.0,99-0739
2000,31.0,99-0741
2001,2.0,99-0742
2002,19.0,99-0743
2003,17.0,99-0744
2004,-1.0,99-0745
2005,52.0,99-0746
2006,-1.0,99-0747
2007,2.0,99-0748
2008,-1.0,99-0749
2009,47.0,99-0751
2010,-1.0,99-0752
2011,5.0,99-0753
2012,-1.0,99-0754
2013,26.0,99-0755
2014,0.0,99-0756
2015,0.0,99-0757
2016,0.0,99-0758
2017,14.0,99-0759
2018,2.0,99-0761
2019,-1.0,99-0762
2020,-1.0,99-0763
2021,64.0,99-0764
2022,5.0,99-0765
2023,31.0,99-0766
2024,7.0,99-0767
2025,10.0,99-0768
2026,8.0,99-0769
2027,-1.0,99-0771
2028,0.0,99-0772
2029,6.0,99-0773
2030,24.0,99-0774
2031,0.0,99-0775
2032,5.0,99-0776
2033,10.0,99-0777
2034,-1.0,99-0778
2035,9.0,99-0779
2036,-1.0,99-0781
2037,-1.0,99-0782
2038,-1.0,99-0783
2039,26.0,99-0784
2040,-1.0,99-0785
2041,8.0,99-0786
2042,45.0,99-0787
2043,-1.0,99-0788
2044,18.0,99-0789
2045,58.0,99-0791
2046,5.0,99-0792
2047,84.0,99-0793
2048,43.0,99-0794
2049,-1.0,99-0795
2050,-1.0,99-0796
2051,30.0,99-0797
2052,1.0,99-0798
2053,8.0,99-0799
2054,61.0,99-0801
2055,-1.0,99-0802
2056,13.0,99-0803
2057,16.0,99-0804
2058,-1.0,99-0805
2059,-1.0,99-0806
2060,65.0,99-0807
2061,12.0,99-0808
2062,-1.0,99-0809
2063,3.0,99-0811
2064,5.0,99-0812
2065,-1.0,99-0813
2066,-1.0,99-0814
2067,26.0,99-0815
2068,8.0,99-0816
2069,6.0,99-0817
2070,0.0,99-0818
2071,0.0,99-0819
2072,-1.0,99-0821
2073,-1.0,99-0822
2074,7.0,99-0823
2075,-1.0,99-0824
2076,-1.0,99-0825
2077,-1.0,99-0826
2078,-1.0,99-0827
2079,3.0,99-0828
2080,0.0,99-0829
2081,0.0,99-0831
2082,10.0,99-0832
2083,16.0,99-0833
2084,0.0,99-0834
2085,0.0,99-0835
2086,-1.0,99-0836
2087,-1.0,99-0837
2088,1.0,99-0838
2089,2.0,99-0839
2090,-1.0,99-0841
2091,10.0,99-0842
2092,1.0,99-0843
2093,-1.0,99-0844
2094,3.0,99-0845
2095,1.0,99-0846
2096,35.0,99-0847
2097,-1.0,99-0848
2098,-1.0,99-0851
2099,1.0,99-0852
2100,33.0,99-0853
2101,0.0,99-0854
2102,-1.0,99-0855
2103,-1.0,99-0856
2104,-1.0,99-0857
2105,37.0,99-0858
2106,16.0,99-0859
2107,36.0,99-0861
2108,1.0,99-0862
2109,1.0,99-0863
2110,-1.0,99-0864
2111,-1.0,99-0865
2112,-1.0,99-0866
2113,26.0,99-0867
2114,1.0,99-0868
2115,4.0,99-0869
2116,22.0,99-0871
2117,11.0,99-0872
2118,-1.0,99-0873
2119,50.0,99-0874
2120,50.0,99-0875
2121,50.0,99-0876
2122,65.0,99-0877
2123,-1.0,99-0878
2124,-1.0,99-0881
2125,0.0,99-0882
2126,7.0,99-0883
2127,-1.0,99-0884
2128,26.0,99-0885
2129,-1.0,99-0886
2130,12.0,99-0887
2131,-1.0,99-0888
2132,-1.0,99-0889
2133,-1.0,99-0891
2134,5.0,99-0892
2135,26.0,99-0893
2136,26.0,99-0894
2137,-1.0,99-0895
2138,-1.0,99-0896
2139,10.0,99-0897
2140,4.0,99-0898
2141,32.0,99-0899
2142,0.0,99-0901
2143,50.0,99-0902
2144,-1.0,99-0903
2145,5.0,99-0904
2146,59.0,99-0905
2147,-1.0,99-0906
2148,-1.0,99-0907
2149,-1.0,99-0908
2150,0.0,99-0909
2151,92.0,99-0911
2152,0.0,99-0912
2153,7.0,99-0913
2154,4.0,99-0914
2155,56.0,99-0915
2156,-1.0,99-0916
2157,-1.0,99-0917
2158,5.0,99-0918
2159,9.0,99-0919
2160,6.0,99-0921
2161,0.0,99-0922
2162,-1.0,99-0923
2163,62.0,99-0924
2164,0.0,99-0925
2165,32.0,99-0926
2166,-1.0,99-0927
2167,0.0,99-0928
2168,0.0,99-0929
2169,-1.0,99-0932
2170,0.0,99-0933
2171,-1.0,99-0934
2172,5.0,99-0935
2173,3.0,99-0936
2174,24.0,99-0937
2175,5.0,99-0938
2176,-1.0,99-0939
2177,8.0,99-0941
2178,26.0,99-0942
2179,-1.0,99-0943
2180,-1.0,99-0944
2181,7.0,99-0945
2182,-1.0,99-0946
2183,-1.0,99-0947
2184,1.0,99-0948
2185,9.0,99-0949
2186,76.0,99-0951
2187,29.0,99-0952
2188,0.0,99-0953
2189,3.0,99-0954
2190,35.0,99-0955
2191,0.0,99-0956
2192,26.0,99-0957
2193,-1.0,99-0958
2194,0.0,99-0959
2195,1.0,99-0961
2196,1.0,99-0962
2197,-1.0,99-0963
2198,-1.0,99-0964
2199,-1.0,99-0965
2200,76.0,99-0966
2201,0.0,99-0967
2202,21.0,99-0968
2203,-1.0,99-0969
2204,-1.0,99-0971
2205,92.0,99-0972
2206,7.0,99-0973
2207,-1.0,99-0974
2208,-1.0,99-0975
2209,7.0,99-0976
2210,-1.0,99-0977
2211,0.0,99-0978
2212,96.0,99-0979
2213,-1.0,99-0981
2214,-1.0,99-0982
2215,-1.0,99-0983
2216,-1.0,99-0984
2217,19.0,99-0985
2218,1.0,99-0986
2219,-1.0,99-0987
2220,7.0,99-0988
2221,-1.0,99-0989
2222,-1.0,99-0991
2223,16.0,99-0992
2224,34.0,99-0993
2225,-1.0,99-0994
2226,36.0,99-0995
2227,4.0,99-0996
2228,0.0,99-0997
2229,12.0,99-0998
2230,-1.0,99-0999
2231,-1.0,99-1001
2232,0.0,99-1002
2233,-1.0,99-1003
2234,-1.0,99-1004
2235,98.0,99-1005
2236,-1.0,99-1006
2237,0.0,99-1007
2238,0.0,99-1008
2239,0.0,99-1009
2240,1.0,99-1011
2241,-1.0,99-1012
2242,-1.0,99-1013
2243,-1.0,99-1014
2244,5.0,99-1015
2245,6.0,99-1016
2246,9.0,99-1017
2247,11.0,99-1018
2248,17.0,99-1019
2249,2.0,99-1021
2250,-1.0,99-1022
2251,49.0,99-1023
2252,59.0,99-1024
2253,75.0,99-1025
2254,16.0,99-1026
2255,10.0,99-1027
2256,23.0,99-1028
2257,12.0,99-1029
2258,-1.0,99-1031
2259,12.0,99-1032
2260,5.0,99-1033
2261,-1.0,99-1034
2262,-1.0,99-1035
2263,-1.0,99-1036
2264,8.0,99-1037
2265,-1.0,99-1038
2266,9.0,99-1039
2267,0.0,99-1042
2268,-1.0,99-1043
2269,-1.0,99-1044
2270,-1.0,99-1045
2271,22.0,99-1046
2272,13.0,99-1047
2273,-1.0,99-1048
2274,-1.0,99-1049
2275,3.0,99-1051
2276,1.0,99-1052
2277,-1.0,99-1053
2278,23.0,99-1054
2279,-1.0,99-1055
2280,-1.0,99-1056
2281,49.0,99-1057
2282,4.0,99-1058
2283,-1.0,99-1059
2284,17.0,99-1061
2285,-1.0,99-1062
2286,-1.0,00-0001
2287,-1.0,00-0002
2288,61.0,00-0003
2289,36.0,00-0004
2290,0.0,00-0005
2291,-1.0,00-0006
2292,1.0,00-0007
2293,36.0,00-0008
2294,19.0,00-0009
2295,7.0,00-0011
2296,34.0,00-0012
2297,34.0,00-0013
2298,14.0,00-0014
2299,-1.0,00-0015
2300,-1.0,00-0016
2301,10.0,00-0017
2302,14.0,00-0018
2303,-1.0,00-0019
2304,12.0,00-0021
2305,49.0,00-0022
2306,-1.0,00-0023
2307,1.0,00-0024
2308,-1.0,00-0025
2309,-1.0,00-0026
2310,86.0,00-0027
2311,1.0,00-0028
2312,17.0,00-0029
2313,22.0,00-0031
2314,61.0,00-0032
2315,1.0,00-0033
2316,9.0,00-0034
2317,9.0,00-0035
2318,-1.0,00-0036
2319,1.0,00-0037
2320,-1.0,00-0038
2321,17.0,00-0039
2322,7.0,00-0041
2323,7.0,00-0042
2324,0.0,00-0043
2325,15.0,00-0044
2326,-1.0,00-0045
2327,62.0,00-0046
2328,7.0,00-0047
2329,0.0,00-0048
2330,8.0,00-0049
